state,2015,2016,2017,2018
Alabama,32.48730964467005,34.715025906735754,33.14285714285714,33.33333333333333
Alaska,69.90291262135922,69.6969696969697,68.6046511627907,63.73626373626373
Arizona,74.35233160621762,73.80952380952381,75.26881720430107,78.9041095890411
Arkansas,37.06563706563706,34.46808510638298,38.99082568807339,40.08810572687225
California,46.11171960569551,46.47727272727273,48.96073903002309,49.00117508813161
Colorado,72.41379310344827,71.50537634408603,71.35135135135135,71.42857142857143
Connecticut,69.29460580912863,69.95708154506438,71.29629629629629,73.568281938326
Delaware,58.06451612903226,58.620689655172406,66.66666666666666,66.66666666666666
District of Columbia,52.63157894736842,41.46341463414634,40.54054054054054,37.142857142857146
Florida,57.361376673040155,57.95918367346938,57.14285714285714,58.50622406639005
Georgia,75.42372881355932,75.79908675799086,81.0,79.45205479452055
Hawaii,65.95744680851064,60.0,51.42857142857142,57.89473684210527
Idaho,46.733668341708544,51.9774011299435,51.369863013698634,51.181102362204726
Illinois,43.40044742729307,49.48979591836735,50.128534704370175,52.472527472527474
Indiana,72.69736842105263,74.08637873754152,75.63636363636364,76.38888888888889
Iowa,40.963855421686745,34.83870967741935,40.0,41.13475177304964
Kansas,52.307692307692314,47.05882352941176,50.40650406504065,49.586776859504134
Kentucky,80.73394495412845,76.92307692307693,75.0,75.34883720930232
Louisiana,48.38709677419355,51.87165775401069,53.40909090909091,54.395604395604394
Maine,47.465437788018434,47.29064039408867,49.46236559139785,53.333333333333336
Maryland,42.950819672131146,42.12328767123288,46.21212121212121,45.34412955465587
Massachusetts,55.00000000000001,55.16224188790561,54.920634920634924,60.983606557377044
Michigan,65.06666666666666,67.1309192200557,68.84272997032642,70.25495750708215
Minnesota,34.97942386831276,36.25,38.839285714285715,40.0
Mississippi,53.333333333333336,60.773480662983424,60.69364161849711,61.40350877192983
Missouri,51.68067226890757,53.42465753424658,50.943396226415096,54.502369668246445
Montana,37.11340206185567,45.45454545454545,47.12643678160919,51.80722891566265
Nebraska,75.40983606557377,63.84615384615384,63.90977443609023,64.70588235294117
Nevada,53.84615384615385,60.78431372549019,69.56521739130434,62.5
New Hampshire,61.19402985074627,59.67741935483871,58.730158730158735,62.06896551724138
New Jersey,52.83582089552239,53.77358490566038,56.209150326797385,54.9520766773163
New Mexico,58.44155844155844,56.94444444444444,65.51724137931035,67.6923076923077
New York,50.25380710659898,47.045707915273134,47.09371293001186,47.57396449704142
North Carolina,49.707602339181285,53.289473684210535,52.918287937743195,59.58188153310105
North Dakota,57.57575757575758,53.125,56.25,58.82352941176471
Ohio,53.140916808149406,56.62020905923345,61.34301270417423,61.63410301953819
Oklahoma,62.0,62.83783783783784,65.03496503496503,69.86301369863014
Oregon,48.64864864864865,47.05882352941176,51.28205128205128,49.390243902439025
Pennsylvania,34.47712418300654,33.95904436860068,35.90192644483363,35.294117647058826
Puerto Rico,57.291666666666664,52.27272727272727,61.016949152542374,60.256410256410255
Rhode Island,82.8125,79.03225806451613,78.57142857142857,83.92857142857143
South Carolina,42.42424242424242,38.84297520661157,34.862385321100916,38.095238095238095
South Dakota,37.03703703703704,54.166666666666664,54.90196078431373,53.06122448979592
Tennessee,59.554140127388536,53.082191780821915,53.64963503649635,57.03971119133574
Texas,55.75916230366492,55.24861878453039,56.30498533724341,57.566765578635014
Utah,67.56756756756756,66.37931034482759,63.76811594202898,58.27814569536424
Vermont,60.526315789473685,57.89473684210527,59.45945945945946,61.64383561643836
Virginia,67.82006920415225,64.46886446886447,69.0566037735849,73.27935222672065
Washington,46.2406015037594,44.87632508833922,46.05678233438486,49.43820224719101
West Virginia,74.19354838709677,68.14159292035397,71.9298245614035,71.900826446281
Wisconsin,63.8580931263858,66.51162790697674,66.66666666666666,66.41975308641975
Wyoming,83.33333333333334,82.35294117647058,83.33333333333334,87.5
