State,2016,Party
Wyoming,584215,R
Vermont,623657,D
District of Columbia,685815,D
Alaska,741456,R
North Dakota,754434,R
South Dakota,862996,R
Delaware,948921,D
Montana,1040859,R
Rhode Island,1056770,D
Maine,1331317,D
New Hampshire,1342307,D
Hawaii,1427559,D
Idaho,1682380,R
West Virginia,1831023,R
Nebraska,1905616,R
New Mexico,2091630,D
Kansas,2910844,R
Nevada,2917563,D
Mississippi,2987938,R
Arkansas,2989918,R
Utah,3041868,R
Iowa,3131371,R
Connecticut,3578141,D
Oklahoma,3926331,R
Oregon,4089976,D
Kentucky,4438182,R
Louisiana,4678135,R
Alabama,4863525,R
South Carolina,4957968,R
Minnesota,5522744,D
Colorado,5539215,D
Wisconsin,5772628,R
Maryland,6003323,D
Missouri,6087135,R
Indiana,6634304,R
Tennessee,6646010,R
Massachusetts,6823608,D
Arizona,6941072,R
Washington,7294771,D
Virginia,8410106,D
New Jersey,8870827,D
Michigan,9950571,R
North Carolina,10154788,R
Georgia,10301890,R
Ohio,11634370,R
Pennsylvania,12782275,R
Illinois,12820527,D
New York,19633428,D
Florida,20613477,R
Texas,27914410,R
California,39167117,D
