State,2016,Democratic Candidates,Republican Candidates,Other Candidates,Party
Puerto Rico,2.929305249953845,0,0,1478816,I
New York,4.655142864201292,13542534,6684364,2007271,D
District of Columbia,4.72947258823107,548008,12723,51443,D
New Jersey,4.758632129564344,3969898,3143564,211732,D
California,5.409096018605608,29622400,9165847,1051551,D
Massachusetts,5.7330395354017725,4339714,1542014,384006,D
Utah,5.774947761144839,968826,1986128,406254,R
Illinois,5.922269615513991,8914205,6728143,627721,D
Connecticut,6.0674374336237,2735153,1783998,297228,D
Rhode Island,6.568522724850368,516173,321867,57629,D
Louisiana,6.797984295997339,2433901,4325285,164126,R
Texas,7.131418292086674,7038403,9562652,896697,R
Michigan,7.230486557027358,4462819,4522945,484425,R
Minnesota,7.348977966024343,2802306,2657637,345302,D
Vermont,7.402204516270723,635230,199006,89974,D
Wisconsin,7.494949868354743,4142867,4155034,400652,R
Indiana,7.542941001352323,3244974,4424266,456631,R
Iowa,7.639682862269013,1877098,2540143,205381,R
Pennsylvania,7.831891489462363,8697049,9048672,550933,R
Mississippi,7.839470930312512,935027,1381524,75079,R
Maryland,7.980992579117517,4974035,2877814,363512,D
Kentucky,8.001631412250605,2039817,3751098,92698,R
Kansas,8.054237462500941,1124380,2097634,314046,R
Ohio,8.108973614378911,6545595,8955589,587822,R
North Dakota,8.13310514515785,232251,719562,73507,R
Georgia,8.303859915743546,4976126,6497370,312703,R
Tennessee,8.346627578335932,1684876,3016665,197547,R
Nebraska,8.444476827483486,505563,1053518,73412,R
Delaware,8.495382390154823,469157,357428,37869,D
North Carolina,8.573552765510293,6460142,7205333,365680,R
Arkansas,8.687526053002514,892443,2107271,307061,R
Florida,8.712900619363106,12612113,14186707,760465,R
Alabama,8.827732875996425,2100167,3875377,124957,R
Colorado,8.859480926963249,3973371,3706420,545046,D
Idaho,8.893511698370526,587006,1305616,158170,R
Missouri,8.973662047071132,3412574,4573493,375258,R
New Mexico,8.986300642623481,822166,662791,93488,D
New Hampshire,9.126465294551016,1039750,1015571,157055,D
Oregon,9.180491165354038,3134076,2242557,489046,D
Arizona,9.182419509447163,3227099,3876046,412814,R
Nevada,9.231479129737515,1569367,1505241,237568,D
Oklahoma,9.360326129009925,1081508,2711719,241056,R
South Dakota,9.451474325328967,354408,730400,24914,R
West Virginia,9.490865130897689,413243,934388,53141,R
Washington,9.573169721502769,5392842,3955975,352554,D
Maine,9.579284894118699,744362,693040,55099,D
South Carolina,9.599287022349248,2338038,3590709,263635,R
Hawaii,9.674123412766233,1034300,351216,71247,D
Virginia,10.43542733345504,3840899,3612453,313527,D
Montana,10.539875560379116,383628,564598,56752,R
Wyoming,10.748445449406445,131439,330595,45591,R
Alaska,12.213063342253035,263673,456624,217950,R
